plugin, operation, time (ms), max (ms), num
"go.GoTypeAssertionPlugin$TypeAssertFromReturnHandler", "castNotify", 0, 0, 776
"overflow.BeliefBufferOverflowPlugin$AvoidFlagSetter", "notGreater", 0, 0, 412
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "notSmaller", 0, 0, 411
"negative.NegativeErrorPlugin$MaybeCheckedCreateProjectionHandler", "greater", 0, 0, 264
"c.ForkBombPlugin$ForkBranchHandler", "smaller", 0, 0, 268
"attr AgressiveUpperBound", "join", 0, 0, 890
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "binaryShr", 0, 0, 16
"overflow.DynamicOverflowPlugin$DynamicOverflowChecker", "compositeAccess", 0, 0, 228
"intoverflow.TruncationAtConditionPlugin$ComparisonChecker", "smaller", 0, 0, 268
"std.ConstantDependensPlugin$ArgcMathOpHandler", "add", 0, 0, 273
"overflow.SizeMismatchPlugin$GlobalVarHandler", "globalVar", 0, 0, 523
"tainted.loop.InfiniteLoopArrayIndexPlugin$OverflowHandler", "sub", 0, 0, 9
"negative.NegativeErrorPlugin$MaybeCheckedCreateProjectionHandler", "smaller", 0, 0, 268
"concurrency.DoubleLockPlugin$LockCopyHandler", "annotate", 0, 0, 12
"std.value.IntegerIntervalPlugin$ArithOpHandler", "binaryShr", 0, 0, 16
"tainted.TaintedPlugin$GlobalVarHandler", "globalVar", 0, 0, 523
"attr IsCheckedSomewhere", "join", 0, 0, 1 455
"std.PathSensTypePlugin$GoMakeInterfaceHandler", "castNotify", 0, 0, 776
"tainted.TaintedInfiniteLoopExPlugin$UpperBoundCheckHandler", "smaller", 0, 0, 268
"attr HeapBufferSize", "join", 0, 0, 10
"attr LoopBoundFlag", "join", 0, 0, 994
"intoverflow.SmallerSignedToUnsignedPlugin$CastHandler", "castNotify", 0, 0, 776
"overflow.StaticOverflowProcPlugin$ReliableAccessHandler", "annotate", 0, 0, 213
"math.DivisionByZeroUnderCheckPlugin$CompareHandler", "smaller", 0, 0, 268
"intoverflow.BigUnsignedValuePlugin$BigValueFromZeroConst", "add", 0, 0, 123
"go.GoTypeAssertionPlugin$CopyOpHandler", "castNotify", 0, 0, 776
"overflow.BufferSizePlugin$HeapBufferSizeHandler", "apply", 0, 0, 237
"std.value.IntervalHandlers$ConstantHandler", "newLong", 0, 0, 48
"tainted.loop.InfiniteLoopStringPlugin$Checker", "sccEnd", 0, 0, 671
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "trueCond", 0, 0, 471
"attr IteratorChange", "join", 0, 0, 336
"std.value.IntegerIntervalPlugin$ArithOpHandler", "sub", 0, 0, 7
"go.GoInterfaceRetPlugin$CopyOpHandler", "castNotify", 0, 0, 776
"tainted.TaintedInfiniteLoopExPlugin$UpperBoundCheckHandler", "notGreater", 0, 0, 412
"attr ConstantStringBufferSize", "join", 0, 0, 64
"std.PureFunctionPlugin$PureFunctionHandler", "annotate", 0, 0, 44
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "binaryAnd", 0, 0, 18
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "greater", 0, 0, 264
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "sub", 0, 0, 9
"leaks.EscapePlugin$EscapeValueHandler", "castNotify", 0, 0, 776
"attr ProcessedExceptions", "join", 0, 0, 86
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "binaryShl", 0, 0, 14
"tainted.TrustedIntPlugin$ValueProjectionHandler", "notGreater", 0, 0, 103
"attr PtrIndexedByIntParam", "join", 0, 0, 254
"attr ExceptionOccurred", "join", 0, 0, 258
"overflow.pathsens.HeapBufferSizePlugin$HeapBufferSizePropagator", "apply", 0, 0, 17
"std.memory.LinkedListStatePlugin$SelfAssignmentHandler", "apply", 0, 0, 120
"overflow.pathsens.StandardHandlers$StandardTrunkHandler", "castNotify", 0, 0, 160
"tainted.TrustedPtrPlugin$TrustedPtrSinkFlagHandler", "apply", 0, 0, 1
"attr ErrorAttr", "join", 0, 0, 110
"tainted.TaintedValueIntervalPlugin$CastHandler", "castNotify", 0, 0, 7
"std.FieldInfoForStaticVariablesPlugin$ReadWriteHandler", "pmove", 0, 0, 242
"attr LastCalledFuncInfo", "join", 0, 0, 243
"attr MaxIsTrustedChecked", "join", 0, 0, 1 632
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "greater", 0, 0, 264
"overflow.BufferOverflowStrictPlugin$BoundIsCheckedCreatorDependsAttr", "notEquals", 0, 0, 599
"tainted.TrustedIntPlugin$ValueProjectionHandler", "greater", 0, 0, 60
"returnvalue.ReturnValueNoCheckPlugin$CompareHandler", "notGreater", 0, 0, 52
"tainted.TrustedIntPlugin$ValueProjectionHandler", "notSmaller", 0, 0, 102
"concurrency.core.LockStatusPlugin$AnnotApplyHandler", "apply", 0, 0, 29
"attr UncaughtExceptions", "join", 0, 0, 24
"negative.NegativeErrorPlugin$DenomWithNegativeArgHandler", "apply", 0, 0, 106
"intoverflow.UnsignedUnderflowAtCondition$UnderflowCreator", "sub", 0, 0, 9
"std.value.BitMaskPlugin$BitMaskedCreator", "binaryAnd", 0, 0, 18
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "smaller", 0, 0, 268
"std.memory.LinkedListStatePlugin$ListElemUnlinkHandler", "compositeAssignment", 0, 0, 137
"negative.CheckAfterPassToProcPlugin$CompareHandler", "notGreater", 0, 0, 102
"overflow.BeliefBufferOverflowPlugin$AvoidFlagSetter", "greater", 0, 0, 264
"overflow.BeliefBufferOverflowPlugin$AvoidFlagSetter", "notSmaller", 0, 0, 411
"concurrency.DoubleLockPlugin$LockCopyHandler", "apply", 0, 0, 21
"tainted.TrustedIntPlugin$ValueProjectionHandler", "smaller", 0, 0, 59
"leaks.MemoryLeakPathSensPlugin$LeakApplyAnnotHandler", "annotate", 0, 0, 1
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "smaller", 0, 0, 268
"overflow.OverflowUnderCheckLenPlugin$LenVersionChecker", "derefExplicitly", 0, 0, 3
"concurrency.LockFunctionPlugin$LockAMLCopyHandler", "apply", 0, 0, 29
"attr MinIsTrustedChecked", "join", 0, 0, 1 176
"overflow.GoArrayLenAfterAccessPlugin$AccessHandler", "annotate", 0, 0, 255
"leaks.EscapePlugin$IntraEscapeValueHandler", "shiftInApply", 0, 0, 104
"std.StandardHandlers$SinkFlagCopyHandler", "apply", 0, 0, 79
"overflow.BufferOverflowStrictPlugin$BoundIsCheckedCreatorDependsAttr", "notSmaller", 0, 0, 36
"uninit.UsePlugin$UseCondHandler", "falseCond", 0, 0, 42
"std.UncontroledValuePlugin$CompareHandler", "notEquals", 0, 0, 37
"concurrency.LockFunctionPlugin$LockUnlockHandler", "apply", 0, 0, 100
"uninit.UsePlugin$UseIntegerOpHandler", "binaryAnd", 0, 0, 18
"junitassert.MissingFieldAssertPlugin$AnnotHandler", "annotate", 0, 0, 380
"returnvalue.ReturnValueNoCheckPlugin$CompareHandler", "greater", 0, 0, 39
"derefofnull.DerefOfNullPathSensPlugin$PossibleNullCompareCreator", "annotateRet", 0, 0, 14
"overflow.BeliefBufferOverflowPlugin$AvoidFlagSetter", "smaller", 0, 0, 268
"std.value.IntegerIntervalPlugin$ArithOpHandler", "binaryAnd", 0, 0, 10
"intoverflow.BigUnsignedValuePlugin$LibChecker", "apply", 0, 0, 172
"overflow.OverflowUnderCheckLenPlugin$LenVersionChecker", "pmove", 0, 0, 3
"attr CastTrunc", "join", 0, 0, 202
"leaks.EscapePlugin$IntraEscapeValueHandler", "derefInApply", 0, 0, 111
"negative.NegativePathSensPlugin$NegativeSetter", "newLong", 0, 0, 24
"std.UncontroledValuePlugin$CompareHandler", "equals", 0, 0, 39
"std.sens.GlobalConditionPlugin$SimpleLoopIndexHandler", "globalGreater", 0, 0, 129
"returnvalue.ReturnValueNoCheckPlugin$CallFunctionHandler", "apply", 0, 0, 79
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "binaryOr", 0, 0, 4
"overflow.StrCmpPlugin$StrCmpHandler", "notGreater", 0, 0, 412
"intoverflow.IntOverflowUnderCheckPlugin$BoundAttrSetterFromConst", "newLong", 0, 0, 48
"derefofnull.PtrNullObserverPlugin$NextIterationResetHandler", "nextIterationForVar", 0, 0, 93
"attr StringLength", "join", 0, 0, 79
"attr NonTrivialIteratorFlag", "join", 0, 0, 470
"tainted.TaintedPlugin$TaintedTransferHandler", "annotate", 0, 0, 154
"derefofnull.DerefOfNullPathSensPlugin$NullSetter", "newLong", 0, 0, 24
"std.value.IntegerIntervalPlugin$ArithOpHandler", "binaryShl", 0, 0, 14
"overflow.BufferOverflowStrictPlugin$BoundIsCheckedCreatorDependsAttr", "smaller", 0, 0, 25
"attr DerefFlag", "join", 0, 0, 333
"std.StandardHandlers$AnnotApplyHandler", "apply", 0, 0, 31
"overflow.pathsens.StandardHandlers$StandardValueEventPropagator", "apply", 0, 0, 23
"attr MightTaintedValueInterval", "join", 0, 0, 33
"tainted.TaintedInfiniteLoopExPlugin$IteratorChangeHandler", "sub", 0, 0, 9
"tainted.sensitive.SensitiveLeakPlugin$SystemLeakHandler", "apply", 0, 0, 36
"std.StandardHandlers$AddrPassedToUnknownHandler", "addrPassedToUnknownFunc", 0, 0, 315
"tainted.TaintedPlugin$ArgvTaintedSetter", "functionStart", 0, 0, 1
"attr DependsListAttr", "join", 0, 0, 515
"overflow.StrCmpPlugin$StrCmpHandler", "notSmaller", 0, 0, 411
"attr SerializableFlag", "join", 0, 0, 604
"overflow.BufferOverflowStrictPlugin$BoundIsCheckedCreatorDependsAttr", "notGreater", 0, 0, 35
"attr DenomIfCond", "join", 0, 0, 5
"attr NotEqualsToNonHeap", "join", 0, 0, 152
"returnvalue.ReturnValueNoCheckPlugin$CompareHandler", "notSmaller", 0, 0, 42
"std.UncontroledValuePlugin$CompareHandler", "falseCond", 0, 0, 19
"ru.isp.svace.sens.strlen.StrLenValuePlugin$StrLenPropagator", "annotate", 0, 0, 40
"intoverflow.ArithmeticOperationViewerPlugin$OperationEventSetter", "sub", 0, 0, 9
"tainted.TaintedArrayIndexPlugin$TrustedSinkFlagHandler", "annotate", 0, 0, 39
"returnvalue.ReturnValueNoCheckPlugin$CompareHandler", "smaller", 0, 0, 31
"negative.CheckAfterPassToProcPlugin$CompareHandler", "notSmaller", 0, 0, 102
"concurrency.LockFunctionPlugin$UnLockCopyHandler", "annotate", 0, 0, 48
"derefofnull.DerefOfNullPathSensPlugin$DerefChecker", "funcRetCall", 0, 0, 46
"std.value.SoundValueIntervalPlugin$ArithOpHandler", "mul", 0, 0, 4
"attr PtrResultOfNew", "join", 0, 0, 219
"attr SystemLeakFlag", "join", 0, 0, 221
"attr FieldInfoAttribute", "join", 0, 0, 56
"exception.UncaughtExceptionsPlugin$JVMThrowHandler", "javaAthrow", 0, 0, 3
"attr PredictedBufSizeAttr", "join", 0, 0, 89
"attr LockStateAttr", "join", 0, 0, 13
"attr LockStatusAttr", "join", 0, 0, 23
"negative.CheckAfterPassToProcPlugin$CompareHandler", "greater", 0, 0, 59
"overflow.StrCmpPlugin$StrCmpHandler", "greater", 0, 0, 264
"overflow.StrCmpPlugin$StrCmpHandler", "smaller", 0, 0, 268
"cpp.CompareResultOfNewPlugin$ResultOfNewCompareHandler", "notEquals", 0, 0, 18
"derefofnull.PtrNullObserverPlugin$PossibleNullFlagCopyHandler", "apply", 0, 0, 10
"junitassert.MissingFieldAssertPlugin$MissingAssertChecker", "meetBack", 0, 0, 46
"tainted.TaintedInfiniteLoopExPlugin$TaintnessPropagator", "sub", 0, 0, 9
"intoverflow.IntOverflowUnderCheckPlugin$IntegerOverflowChecker", "sub", 0, 0, 9
"tainted.loop.InfiniteLoopArrayIndexPlugin$OverflowedBufferAccessCopyOpPropagator", "derefExplicitly", 0, 0, 27
"attr value id set", "join", 0, 0, 15
"attr MustTaintedValueInterval", "join", 0, 0, 7
"intoverflow.InevitableIntOverflowPlugin$InevitableIntOverflowHandler", "binaryShl", 0, 0, 14
"cpp.CompareResultOfNewPlugin$ResultOfNewCompareHandler", "equals", 0, 0, 18
"derefofnull.NullPointerDereferencePlugin$NullDerefCopyHandler", "funcRetCall", 0, 0, 29
"derefofnull.NullAfterDerefPlugin$CreatedInProcDereferencedHandler", "apply", 0, 0, 32
"concurrency.NoCheckInLockPlugin$AccessStepsCompareHandler", "notGreater", 0, 0, 7
"concurrency.NoCheckInLockPlugin$AccessStepsCompareHandler", "greater", 0, 0, 6
"std.StandardHandlers$MaybeChangedHandler", "mayBeChanged", 0, 0, 47
"overflow.BufferOverflowStrictPlugin$BoundIsCheckedCreatorDependsAttr", "greater", 0, 0, 24
"overflow.OverflowAfterCheckPlugin$BufferBackwardCopyHandler", "combine", 0, 0, 4
"concurrency.NoCheckInLockPlugin$StaticVariablesCompareHandler", "falseCond", 0, 0, 42
"attr STR", "join", 0, 0, 55
"std.value.IntegerIntervalPlugin$ArithOpHandler", "mul", 0, 0, 4
"std.DependsFromParameterPlugin$ComparisonPropagator", "notGreater", 0, 0, 35
"attr DerefAfterNullExFired", "join", 0, 0, 228
"math.DivisionByZeroPlugin$ZeroSetter", "newLong", 0, 0, 24
"attr SimpleNullTerminationAttr", "join", 0, 0, 79
"overflow.pathsens.ValueSummaryPlugin$ArithmOpHandler", "sub", 0, 0, 9
"std.value.SoundValueIntervalPlugin$ArithOpHandler", "sub", 0, 0, 7
"attr CastExt", "join", 0, 0, 45
"tainted.TrustedIntPlugin$ApplyAnnotHandler", "annotate", 0, 0, 28
"leaks.HandleLeakPlugin$ResourceAmlHandler", "apply", 0, 0, 1
"negative.CheckAfterPassToProcPlugin$CompareHandler", "smaller", 0, 0, 59
"attr HardcodedStringFlag", "join", 0, 0, 58
"std.value.IntegerShiftPlugin$ArithOpHandler", "sub", 0, 0, 9
"derefofnull.NullAfterDerefPlugin$RetPtrDerefCopyHandler", "annotateRet", 0, 0, 13
"concurrency.NoCheckInLockPlugin$AccessStepsCompareHandler", "notSmaller", 0, 0, 7
"tainted.TrustedIntPlugin$IntegerHandler", "sub", 0, 0, 1
"attr UnreachableBecauseAssume", "join", 0, 0, 18
"tainted.TaintedPlugin$TaintedByShiftedPtrApplyHandler", "apply", 0, 0, 8
"attr DynamicBufferSizeInterval", "join", 0, 0, 26
"attr UnreachableCode", "join", 0, 0, 101
"derefofnull.NullAfterDerefPlugin$RetPtrDerefCopyHandler", "apply", 0, 0, 19
"std.DependsFromParameterPlugin$ArithmeticProragator", "add", 0, 0, 19
"derefofnull.PtrNullObserverPlugin$OptimisticFlagCreator", "addrPassedToUnknownFunc", 0, 0, 10
"attr ExceptionOccurredFlag", "join", 0, 0, 241
"tainted.loop.SccIteratorPlugin$DependsOnInitiateHandler", "sub", 0, 0, 9
"std.StandardHandlers$ValueIdParameterTypeApplyAnnotHandler2", "annotate", 0, 0, 55
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "div", 0, 0, 1
"attr UnlockPathFlag", "join", 0, 0, 248
"concurrency.NoCheckInLockPlugin$AccessStepsCompareHandler", "smaller", 0, 0, 6
"std.DependsFromParameterPlugin$ComparisonPropagator", "notSmaller", 0, 0, 36
"std.DependsFromParameterPlugin$ComparisonPropagator", "greater", 0, 0, 24
"overflow.StringLengthPlugin$StringTerminationHandler", "apply", 0, 0, 22
"overflow.pathsens.ValueComparedPlugin$ArithOpHandler", "sub", 0, 0, 9
"tainted.TrustedIntPlugin$IntegerHandlerTrustIf", "mul", 0, 0, 1
"uninit.UsePlugin$UseIntegerOpHandler", "sub", 0, 0, 9
"std.LoopBoundPlugin$IncrementHandler", "sub", 0, 0, 9
"overflow.pathsens.ValueSummaryPlugin$ArithmOpHandler", "mul", 0, 0, 5
"math.DivisionByZeroPlugin$ZeroSetter", "newDouble", 0, 0, 4
"intoverflow.IntOverflowUnderCheckPlugin$IntegerOverflowChecker", "mul", 0, 0, 5
"leaks.MemoryLeakPathSensPlugin$LeakApplyAnnotHandler", "apply", 0, 0, 1
"intoverflow.InevitableIntOverflowPlugin$InevitableIntOverflowHandler", "sub", 0, 0, 7
"tainted.TrustedIntPlugin$ValueProjectionHandler", "equals", 0, 0, 13
"negative.PassToProcAfterCheckPlugin$BufferAccessHandler", "annotate", 0, 0, 7
"attr PossibleNull", "join", 0, 0, 4
"returnvalue.ReturnValueNoCheckPlugin$CallFunctionHandler", "heapArrayAllocate", 0, 0, 18
"uninit.UsePlugin$UseIntegerOpHandler", "binaryShl", 0, 0, 14
"intoverflow.ArithmeticOperationViewerPlugin$OperationEventSetter", "mul", 0, 0, 5
"checkers.InvariantResultBitShiftPlugin$InvariantResultBitShift", "binaryShr", 0, 0, 16
"std.value.IntervalHandlers$FloatConstantHandler", "floatToIntCast", 0, 0, 18
"attr TaintedValue", "join", 0, 0, 7
"attr FirstIterConditionType", "join", 0, 0, 36
"std.DependsFromParameterPlugin$ComparisonPropagator", "smaller", 0, 0, 25
"cpp.NoUnlockCppPlugin$UnlockHandler", "apply", 0, 0, 29
"tainted.TaintedPlugin$ResOfStrlenIsCheckedSanitazer", "falseCond", 0, 0, 42
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "binaryAnd", 0, 0, 18
"attr NullTerminatedString", "join", 0, 0, 55
"tainted.loop.InfiniteLoopArrayIndexPlugin$LoopConditionChecker", "smaller", 0, 0, 12
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "binaryShr", 0, 0, 16
"std.sens.FistIterConditionPlugin$ArithmHandler", "sub", 0, 0, 9
"overflow.BufferOverflowStrictPlugin$IntegerHandler", "sub", 0, 0, 9
"overflow.pathsens.TaintedOverflowPlugin$ArithOpHandler", "sub", 0, 0, 9
"intoverflow.InevitableIntOverflowPlugin$InevitableIntOverflowHandler", "mul", 0, 0, 4
"intoverflow.UnsignedUnderflowAtLoopBoundPlugin$IntOverflowHandler", "sub", 0, 0, 9
"intoverflow.ArithmeticOperationViewerPlugin$OperationEventHandler", "annotate", 0, 0, 32
"newdelete.FreeOfNonHeapMemoryPlugin$ConstantCatchHandler", "newLong", 0, 0, 24
"derefofnull.PtrNullObserverPlugin$PtrIsSetToNullPropagator", "addrPassedToUnknownFunc", 0, 0, 88
"concurrency.LockFunctionPlugin$LockUnlockHandler", "annotate", 0, 0, 30
"tainted.TaintedInfiniteLoopExPlugin$IteratorTaintnessHandler", "sub", 0, 0, 9
"overflow.BufferOverflowStrictPlugin$IntegerHandler", "mul", 0, 0, 5
"uninit.UsePlugin$UseIntegerOpHandler", "binaryXor", 0, 0, 6
"returnvalue.ReturnValueNoCheckPlugin$UseArithmVariableHandler", "binaryAnd", 0, 0, 7
"tainted.TrustedIntPlugin$IntegerHandler", "mul", 0, 0, 1
"tainted.TaintedIntegerOverflowPlugin$IntOverflowFirer", "pmove", 0, 0, 1
"tainted.TaintedPlugin$TaintedPtrWithLenLimitCopyHandler", "apply", 0, 0, 8
"negative.NegativeErrorPlugin$NegativeSpecsHandler", "annotate", 0, 0, 25
"std.DependsFromParameterPlugin$ArithmeticProragator", "binaryShr", 0, 0, 5
"overflow.pathsens.ValueComparedPlugin$ArithOpHandler", "mul", 0, 0, 5
"negative.NegativeErrorPlugin$DenomWithNegativeArgHandler", "annotate", 0, 0, 11
"attr LocalMustNegativeFlag", "join", 0, 0, 28
"std.value.IntegerIntervalPlugin$ArithOpHandler", "binaryOr", 0, 0, 2
"uninit.UsePlugin$UseIntegerOpHandler", "binaryShr", 0, 0, 16
"tainted.sensitive.SensitiveLeakPlugin$LocalVarHandler", "annotate", 0, 0, 1
"returnvalue.ReturnValueNoCheckPlugin$UseArithmVariableHandler", "binaryXor", 0, 0, 6
"returnvalue.ReturnValueNoCheckPlugin$UseArithmVariableHandler", "add", 0, 0, 11
"tainted.TaintedPlugin$TaintedPtrToTaintedIntHandler", "apply", 0, 0, 8
"negative.NegativeErrorPlugin$LocalMustNegativeFlagSetter", "newLong", 0, 0, 24
"tainted.TaintedInfiniteLoopExPlugin$TaintsInsideLoopHandler", "sub", 0, 0, 9
"tainted.TrustedIntPlugin$ApplyAnnotHandler", "indirectAnnotate", 0, 0, 1
"checkers.InvariantResultBitShiftPlugin$InvariantResultBitShift", "binaryShl", 0, 0, 14
"negative.CheckAfterPassToProcPlugin$CompareHandler", "equals", 0, 0, 13
"math.DivisionByZeroUnderCheckPlugin$DivizionByZeroUnderCheckChecker", "add", 0, 0, 7
"c.BadShiftPlugin$ShiftNegativeIntegerHandler", "binaryShl", 0, 0, 14
"std.ConstantDependensPlugin$Setter", "newLong", 0, 0, 24
"math.DivisionByZeroPlugin$ZeroSetter", "newFloat", 0, 0, 10
"attr MaxTaintedWithOutNotEq", "join", 0, 0, 66
"attr TaintedIntIf", "join", 0, 0, 7
"derefofnull.PtrNullObserverPlugin$PossibleNullFlagCopyHandler", "annotate", 0, 0, 6
"tainted.TaintedValueIntervalPlugin$ApplyAnnotHandler", "annotate", 0, 0, 2
"tainted.loop.InfiniteLoopOverflowPlugin$OverlowHandler", "sub", 0, 0, 9
"std.type.UnsignedPlugin$UnsignedPropagator", "sub", 0, 0, 9
"math.DivisionByZeroPlugin$DivisionByAddrHandler", "div", 0, 0, 1
"std.DependsFromParameterPlugin$ArithmeticProragator", "binaryShl", 0, 0, 3
"std.ConstantDependensPlugin$ArgcMathOpHandler", "sub", 0, 0, 7
"std.DependsFromParameterPlugin$ArithmeticProragator", "binaryAnd", 0, 0, 2
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "binaryShl", 0, 0, 14
"std.ConstantDependensPlugin$ArgcMathOpHandler", "binaryAnd", 0, 0, 7
"overflow.pathsens.TaintedOverflowPlugin$ArithOpHandler", "mul", 0, 0, 5
"overflow.BufferOverflowStrictPlugin$IntegerHandler", "binaryAnd", 0, 0, 18
"concurrency.core.LockStatusPlugin$AnnotApplyHandler", "annotate", 0, 0, 18
"uninit.UsePlugin$UseIntegerOpHandler", "binaryOr", 0, 0, 4
"negative.NegativeErrorPlugin$NegativeSpecsHandler", "pmove", 0, 0, 6
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "sub", 0, 0, 9
"tainted.TrustedPtrPlugin$TrustedPtrSinkFlagHandler", "annotate", 0, 0, 1
"overflow.BufferOverflowStrictPlugin$IntegerHandler", "binaryOr", 0, 0, 4
"derefofnull.NullablePtrPlugin$UserAnnotHandler", "userAnnotation", 0, 0, 1
"go.GoUnsafeTypeCastPlugin$UnsafeCastHandler", "castNotify", 0, 0, 7
"attr ParsedStringAttr", "join", 0, 0, 51
"std.ConstantDependensPlugin$ArgcMathOpHandler", "binaryShl", 0, 0, 14
"returnvalue.ReturnValueNoCheckPlugin$UseArithmVariableHandler", "sub", 0, 0, 6
"intoverflow.UnsignedUnderflowAtCondition$ComparisonChecker", "notGreater", 0, 0, 4
"attr DeadCode", "join", 0, 0, 24
"uninit.UsePlugin$UseIntegerOpHandler", "mul", 0, 0, 5
"attr BufferAccessRestriction", "join", 0, 0, 3
"std.DependsFromParameterPlugin$ArithmeticProragator", "sub", 0, 0, 2
"leaks.BackwardChecker$LeakCopyHandler", "meetBack", 0, 0, 1
"tainted.TaintedIntegerOverflowPlugin$CastHandler", "castNotify", 0, 0, 7
"attr MinTaintedWithOutNotEq", "join", 0, 0, 66
"tainted.TaintedPlugin$TaintedPtrToTaintedIntHandler", "derefExplicitly", 0, 0, 3
"overflow.CheckAfterOverflowPlugin$CompareHandler", "notSmaller", 0, 0, 1
"attr MaxTainted", "join", 0, 0, 66
"returnvalue.ReturnValueNoCheckPlugin$UseArithmVariableHandler", "binaryOr", 0, 0, 2
"std.StandardHandlers$SinkFlagCopyHandler", "annotate", 0, 0, 6
"attr MinTainted", "join", 0, 0, 66
"math.DivisionByZeroPlugin$DivizionByZeroChecker2", "mod", 0, 0, 1
"tainted.TaintedPlugin$TaintedClearHandler", "annotate", 0, 0, 1
"std.type.UnsignedPlugin$UnsignedPropagator", "mul", 0, 0, 5
"tainted.loop.InfiniteLoopArrayIndexPlugin$LoopConditionChecker", "notGreater", 0, 0, 4
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "binaryXor", 0, 0, 6
"std.DependsFromParameterPlugin$ArithmeticProragator", "div", 0, 0, 1
"attr MayUnderflowFlag", "join", 0, 0, 8
"std.DependsFromParameterPlugin$ArithmeticProragator", "mod", 0, 0, 1
"overflow.pathsens.StandardHandlers$StandardValueEventPropagator", "annotate", 0, 0, 2
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "mul", 0, 0, 5
"attr DerefComparedWithoutLock", "join", 0, 0, 31
"overflow.OverflowAfterCheckPlugin$BufferBackwardCopyHandler", "meetBack", 0, 0, 4
"attr CreatedInProcDereferenced", "join", 0, 0, 29
"tainted.loop.SccIteratorPlugin$DependsOnInitiateHandler", "mul", 0, 0, 5
"intoverflow.UnsignedUnderflowAtCondition$ComparisonChecker", "notSmaller", 0, 0, 4
"overflow.pathsens.ValueComparedPlugin$ArithOpHandler", "div", 0, 0, 1
"attr ReleasedBeforeAssign", "join", 0, 0, 35
"tainted.loop.InfiniteLoopArrayIndexPlugin$LoopConditionChecker", "notSmaller", 0, 0, 6
"std.DependsFromParameterPlugin$ArithmeticProragator", "mul", 0, 0, 2
"attr UnlockAddrMutex", "join", 0, 0, 23
"std.ConstantDependensPlugin$ArgcMathOpHandler", "mul", 0, 0, 4
"attr UnlockMutex", "join", 0, 0, 13
"overflow.BufferOverflowStrictPlugin$IntegerHandler", "binaryShl", 0, 0, 14
"attr CheckObjectFunc", "join", 0, 0, 25
"std.DependsFromParameterPlugin$ArithmeticProragator", "binaryOr", 0, 0, 2
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "binaryOr", 0, 0, 4
"tainted.TaintedPlugin$AnnotationHandler", "userAnnotation", 0, 0, 1
"negative.CheckAfterPassToProcPlugin$CompareHandler", "notEquals", 0, 0, 17
"leaks.HandleLeakPlugin$ResourceAmlHandler", "annotate", 0, 0, 1
"attr CheckObjectFlag", "join", 0, 0, 26
"derefofnull.PtrNullObserverPlugin$UserAnnotHandler", "userAnnotation", 0, 0, 1
"intoverflow.UnsignedUnderflowAtCondition$ComparisonChecker", "greater", 0, 0, 2
"returnvalue.ReturnValueNoCheckPlugin$UseArithmVariableHandler", "binaryShl", 0, 0, 2
"std.ConstantDependensPlugin$ArgcMathOpHandler", "binaryOr", 0, 0, 1
"std.type.UnsignedPlugin$UnsignedPropagator", "div", 0, 0, 1
"overflow.pathsens.TaintedOverflowPlugin$ArithOpHandler", "div", 0, 0, 1
"tainted.loop.InfiniteLoopArrayIndexPlugin$LoopConditionChecker", "greater", 0, 0, 2
"overflow.pathsens.ValueSummaryPlugin$ArithmOpHandler", "div", 0, 0, 1
"std.sens.GlobalConditionPlugin$NotNullAnnotHandler", "userAnnotation", 0, 0, 1
"intoverflow.IntOverflowUnderBitMask$BitSizeCreator", "mul", 0, 0, 5
"std.DependsFromParameterPlugin$ParametrValueIdCreator", "addrPassedToUnknownFunc", 0, 0, 1
"intoverflow.UnsignedUnderflowAtCondition$ComparisonChecker", "smaller", 0, 0, 2
"math.DivisionByZeroUnderCheckPlugin$DivizionByZeroUnderCheckChecker", "sub", 0, 0, 1
"checkers.IncorrectSpringAuthPlugin$AnnotationHandler", "userAnnotation", 0, 0, 1
"attr DenominatorFlag", "join", 0, 0, 2
"attr PtrDenominatorFlag", "join", 0, 0, 2
"math.DivisionByZeroPlugin$DivisionByAddrHandler", "mod", 0, 0, 1
"returnvalue.UncheckedFuncResPlugin$FunctionResCheckIntegerHandler", "div", 0, 0, 1
