plugin, operation, time (ms), max (ms), num
"leaks.AllocCompareResultPlugin$AllocCompareFlagCreator", "retBranch", 63, 20, 2 002
"tainted.TaintedPlugin$AccessChainParametr", "compositeAssignment", 63, 19, 1 161
"grep.BadStringPlugin$BadStringHandler", "passedToFunc", 63, 3, 55 204
"derefofnull.PtrNullObserverPlugin$NullPtrProjectionHandler", "notEquals", 63, 4, 3 042
"overflow.pathsens.ValueComparedPlugin$ValueComparedCreator", "notEquals", 63, 7, 3 440
"cpp.UseAfterMovePlugin$PassedToFuncAfterMoveHandler", "compositeAccess", 62, 12, 3 660
"DFA", "langindpad", 62, 5, 1 470
"grep.BadStringPlugin$BadStringHandler", "pmove", 62, 16, 32 816
"tainted.sensitive.SensitiveLeakPlugin$LocalVarHandler", "functionStart", 61, 8, 1 470
"std.value.SoundValueIntervalPlugin$ValueProjectionHandler", "globalNotEquals", 61, 4, 3 106
"uninit.UsePlugin$UsedValueHandler", "deref", 60, 1, 35 701
"attr FreeAmlFlag", "join", 57, 18, 39 112
"derefofnull.DerefOfNullInconsistentPlugin$EndFuncChecker", "functionEndForVar", 56, 18, 3 208
"grep.LightApiCheckerPlugin$BadKeyWordHandler", "functionStart", 56, 13, 5 880
"tainted.TaintedPlugin$AccessChainParametr", "pmove", 55, 8, 3 433
"std.PCallPlugin$CopyHandler", "functionStart", 53, 10, 1 470
"std.LocationPlugin$LocationTypeHandler", "out", 53, 4, 65 997
"leaks.EscapePlugin$ApplyHandler", "apply", 53, 14, 25 386
"DFA", "unreachable2", 53, 2, 1 470
"tainted.sensitive.SensitiveLeakPlugin$LocalVarHandler", "derefExplicitly", 52, 7, 16 666
"uninit.UninitArrayExPlugin$InitOperationsHandler", "passedToUnknownFunc", 50, 1, 10 877
"std.value.IntervalHandlers$AnnotateApplyHandler", "apply", 49, 10, 4 617
"attr AmlReleasedIf", "join", 48, 13, 4 139
"derefofnull.DerefOfNullPathSensPlugin$CompareWithNullHandler", "notEquals", 48, 16, 9 543
"uninit.UninitArrayExPlugin$InitOperationsHandler", "pmove", 48, 1, 8 204
"tainted.sensitive.PasswordPlugin$ConstantStringHandler", "newString", 47, 14, 1 920
"std.type.UnsignedPlugin$UnsignedPtrPropagator", "derefExplicitly", 46, 6, 16 666
"tainted.sensitive.SensitiveLeakPlugin$LocalVarHandler", "compositeAccess", 46, 0, 3 660
"derefofnull.DerefOfNullInconsistentPlugin$CompareHandler", "notEquals", 45, 24, 3 717
"leaks.EscapePlugin$EscapeValueHandler", "passedToUnknownFunc", 44, 6, 10 877
"std.memory.ObjectHasBeenChangedPlugin$ObjectAccessHandler", "compositeAssignment", 44, 15, 1 510
"intoverflow.InevitableIntOverflowPlugin$AssignmentHandler", "pmove", 43, 2, 1 466
"uninit.UsePlugin$UseCondHandler", "notEquals", 43, 5, 3 717
"std.DependsFromParameterPlugin$ParametrValueIdCreator", "functionStart", 43, 1, 1 470
"derefofnull.DerefOfNullRetSensPlugin$AnnotApplyHandler", "apply", 43, 1, 1 615
"uninit.UsePlugin$UseCondHandler", "equals", 41, 9, 3 297
"leaks.MemoryLeakPathSensPlugin$CompareWithNullHandler", "equals", 41, 3, 3 297
"attr ValueInterval", "join", 41, 1, 15 688
"derefofnull.DerefOfNullInconsistentPlugin$CompareHandler", "equals", 41, 20, 3 297
"tainted.loop.SccIteratorPlugin$TrueIteratorHandler", "pmove", 41, 7, 8 204
"derefofnull.NullPointerDereferencePlugin$NullDerefCopyHandler", "combine", 41, 12, 1 681
"overflow.pathsens.BufferOverflowZ3Plugin$BufferOverflowChecker", "bufferAccess", 41, 7, 505
"attr SoundValueInterval", "join", 40, 10, 14 294
"intoverflow.InevitableIntOverflowPlugin$AssignmentHandler", "passedToFunc", 40, 13, 1 807
"tainted.sensitive.SensitiveLeakPlugin$SensitiveStringGoHandler", "funcRetCall", 40, 4, 5 527
"concurrency.NoLockStatPlugin$ReadWriteHandler", "compositeAssignment", 40, 11, 1 510
"std.ModifierPlugin$CopyNotifyHandler", "copyNotify", 40, 10, 27 963
"attr LowerBoundAttr", "join", 39, 20, 13 198
"math.DivisionByZeroPlugin$ZeroIfHandler", "apply", 38, 7, 2 914
"lib.LibBadLoadPathPlugin$StringIsLibPathSetter", "newString", 35, 10, 1 920
"attr StringLengthSummary", "join", 35, 10, 160
"c.ChrootPlugin$NonChdirCopyOpHandler", "applyPath", 35, 11, 5 343
"uninit.UsePlugin$UsedValueHandler", "passedToFunc", 35, 2, 13 801
"derefofnull.PtrNullObserverPlugin$NullPtrProjectionHandler", "equals", 35, 5, 2 600
"std.value.IntegerShiftPlugin$ValueProjectionHandler", "equals", 35, 7, 2 743
"attr CurrentAssumeConditionType", "join", 34, 11, 3 100
"std.value.IntegerIntervalPlugin$ValueProjectionHandler", "notEquals", 34, 3, 3 181
"math.DivisionByZeroUnderCheckPlugin$CompareHandler", "notEquals", 33, 8, 3 717
"derefofnull.DerefOfNullRetStatPlugin$CompareToNullHandler", "equals", 33, 14, 566
"std.memory.MemoryModelPlugin$PointsToProjectionHandler", "notEquals", 32, 16, 3 717
"attr SccConditionType", "join", 32, 15, 1 317
"NullPointerDereferencePlugin2", "translate", 32, 10, 707
"c.signals.SharedAccessPlugin$AccessChecker", "deref", 32, 8, 35 701
"useafterrelease.JavaUseAfterReleasePlugin$PassedToProcAfterReleaseJavaChecker", "passedToFunc", 31, 4, 13 801
"std.LastCalledFuncInfoPlugin$LastCallHandler", "applyPredcondition", 31, 5, 5 732
"overflow.pathsens.OverflowConditionPlugin$BufferOverflowHandler", "bufferAccess", 31, 1, 561
"std.value.IntegerIntervalPlugin$ValueProjectionHandler", "equals", 31, 3, 2 743
"attr UpperBoundAttr", "join", 31, 1, 13 211
"overflow.pathsens.ValueSummaryPlugin$ParamStubCreator", "functionStart", 31, 2, 1 470
"overflow.StringLengthPlugin$StringLengthHandler", "pmove", 30, 6, 8 204
"overflow.BufferSizeFromSymbolPlugin$CopyOpSymbHandler", "pmove", 30, 9, 8 204
"c.ForkBombPlugin$ForkBranchHandler", "notEquals", 30, 4, 3 717
"overflow.BufferIndexPlugin$DangerAccessSetter", "bufferAccess", 30, 7, 561
"BufferOverflowPropagator", "annotationApply-checkOnApplyAndMigrate", 30, 4, 591
"uninit.UsePlugin$UsedValueHandler", "pmove", 30, 11, 8 204
"attr InitField", "join", 29, 9, 34 023
"concurrency.LockInconsistentPlugin$Checker", "compositeAssignment", 29, 9, 1 510
"ru.isp.svace.sens.strlen.StrLenValuePlugin$ConstantStringCreater", "newString", 29, 7, 1 920
"overflow.GoArrayLenAfterAccessPlugin$AccessHandler", "nextIterationForVar", 28, 7, 56 632
"attr ResultOfDeref", "join", 28, 8, 17 448
"derefofnull.MemsetNullPlugin$PointerToNullsHandler", "passedToUnknownFunc", 28, 14, 10 877
"attr NullConstIf", "join", 27, 6, 1 743
"negative.NegativePathSensPlugin$NegativeSetter", "newInt", 27, 20, 11 464
"c.ForkBombPlugin$ForkBranchHandler", "equals", 27, 4, 3 297
"concurrency.core.DeadlockJavaPlugin$ReadWriteHandler", "functionStart", 27, 7, 1 470
"std.sens.GlobalConstantFactsPlugin$GlobalVarDeref", "derefExplicitly", 27, 5, 16 666
"attr NullRetIfCond", "join", 27, 5, 4 410
"returnvalue.ReturnValueNoCheckPlugin$CompareHandler", "notEquals", 26, 5, 1 059
"exception.UncaughtExceptionsPlugin$JVMTryCatchHandler", "annotateException", 26, 1, 462
"attr CurrentConditionType", "join", 26, 7, 3 100
"overflow.OverflowUnderCheckPlugin$ValueProjectionHandler", "notSmaller", 26, 8, 810
