function, , time (ms), max (ms), num
"com/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig.withAdditionalDeserializers:(Lcom/fasterxml/jackson/databind/deser/Deserializers;)Lcom/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig;", "all", 7, 7, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver.resolveClassAnnotations:(Ljava/util/List;)Lcom/fasterxml/jackson/databind/util/Annotations;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/ObjectMapper.getSubtypeResolver:()Lcom/fasterxml/jackson/databind/jsontype/SubtypeResolver;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedMethodCollector._addMethodMixIns:(Lcom/fasterxml/jackson/databind/introspect/TypeResolutionContext;Ljava/lang/Class;Ljava/util/Map;Ljava/lang/Class;)V", "all", 6, 3, 2
"com/fasterxml/jackson/databind/type/MapType.<init>:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/Object;Ljava/lang/Object;Z)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/cfg/MapperConfigBase.getDefaultPropertyInclusions:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;)Lcom/fasterxml/jackson/annotation/JsonIncludeProperties$Value;", "all", 6, 4, 2
"com/fasterxml/jackson/databind/ObjectMapper.defaultClassIntrospector:()Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/ClassUtil.isConcrete:(Ljava/lang/Class;)Z", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.findContentDeserializerFromAnnotation:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/introspect/Annotated;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 6, 6, 2
"com/fasterxml/jackson/databind/DatabindContext.converterInstance:(Lcom/fasterxml/jackson/databind/introspect/Annotated;Ljava/lang/Object;)Lcom/fasterxml/jackson/databind/util/Converter;", "all", 6, 4, 2
"com/fasterxml/jackson/databind/introspect/CollectorBase._emptyAnnotationMap:()Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 6, 1, 5
"com/fasterxml/jackson/databind/type/TypeFactory._fromWellKnownClass:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/DeserializationContext.getParser:()Lcom/fasterxml/jackson/core/JsonParser;", "all", 6, 2, 5
"com/fasterxml/jackson/databind/util/ClassUtil.isNonStaticInnerClass:(Ljava/lang/Class;)Z", "all", 6, 6, 1
"java/lang/System.arraycopy:(Ljava/lang/Object;ILjava/lang/Object;II)V", "all", 6, 1, 5
"java/lang/Class.getSimpleName:()Ljava/lang/String;", "all", 6, 1, 7
"com/fasterxml/jackson/databind/type/PlaceholderForType.<init>:(I)V", "all", 6, 3, 2
"javax/swing/JButton.<init>:(Ljava/lang/String;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/type/TypeBase.containedType:(I)Lcom/fasterxml/jackson/databind/JavaType;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.drainBuffers:()V", "all", 6, 6, 2
"com/fasterxml/jackson/databind/deser/impl/SetterlessProperty.<init>:(Lcom/fasterxml/jackson/databind/introspect/BeanPropertyDefinition;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/util/Annotations;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;)V", "all", 6, 6, 1
"java/util/Iterator.remove:()V", "all", 6, 1, 11
"com/fasterxml/jackson/databind/util/ClassUtil.getEnclosingClass:(Ljava/lang/Class;)Ljava/lang/Class;", "all", 6, 3, 3
"com/fasterxml/jackson/databind/deser/AbstractDeserializer.<init>:(Lcom/fasterxml/jackson/databind/deser/BeanDeserializerBuilder;Lcom/fasterxml/jackson/databind/BeanDescription;Ljava/util/Map;Ljava/util/Map;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap._hashCode:(Ljava/lang/String;)I", "all", 6, 2, 3
"com/fasterxml/jackson/databind/introspect/DefaultAccessorNamingStrategy$RecordNaming.<init>:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked.withoutNonVisible:()Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;", "all", 6, 5, 2
"com/fasterxml/jackson/databind/cfg/BaseSettings.withPropertyNamingStrategy:(Lcom/fasterxml/jackson/databind/PropertyNamingStrategy;)Lcom/fasterxml/jackson/databind/cfg/BaseSettings;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/std/StdValueInstantiator.<init>:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/JavaType;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/internal/LinkedDeque.contains:(Lcom/fasterxml/jackson/databind/util/internal/Linked;)Z", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/SimpleBeanPropertyDefinition.construct:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;Lcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/databind/PropertyMetadata;Lcom/fasterxml/jackson/annotation/JsonInclude$Value;)Lcom/fasterxml/jackson/databind/util/SimpleBeanPropertyDefinition;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap$Builder.build:()Lcom/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/introspect/MemberKey.<init>:(Ljava/lang/reflect/Constructor;)V", "all", 6, 2, 3
"com/fasterxml/jackson/databind/ObjectMapper.findAndRegisterModules:()Lcom/fasterxml/jackson/databind/ObjectMapper;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.collect:(Lcom/fasterxml/jackson/databind/type/TypeFactory;Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass$Creators;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/impl/CreatorCandidate.paramCount:()I", "all", 6, 1, 7
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder.addCreatorProperty:(Lcom/fasterxml/jackson/databind/deser/SettableBeanProperty;)V", "all", 6, 3, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedMethod.getRawParameterTypes:()[Ljava/lang/Class;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.withAdditionalKeyDeserializers:(Lcom/fasterxml/jackson/databind/deser/KeyDeserializers;)Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.getFactoryMethodsWithMode:()Ljava/util/List;", "all", 6, 6, 1
"javax/swing/JComboBox.<init>:([Ljava/lang/Object;)V", "all", 6, 6, 1
"sf_get_some_boolean", "all", 6, 1, 13
"com/fasterxml/jackson/databind/introspect/DefaultAccessorNamingStrategy$Provider.forRecord:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;)Lcom/fasterxml/jackson/databind/introspect/AccessorNamingStrategy;", "all", 6, 6, 1
"com/houarizegai/calculator/theme/ThemeLoader.loadThemes:()Ljava/util/Map;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/ObjectMapper.registerModules:(Ljava/lang/Iterable;)Lcom/fasterxml/jackson/databind/ObjectMapper;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/EnumResolver.<init>:(Ljava/lang/Class;[Ljava/lang/Enum;Ljava/util/HashMap;Ljava/lang/Enum;ZZ)V", "all", 6, 3, 2
"com/fasterxml/jackson/databind/util/ClassUtil.isJacksonStdImpl:(Ljava/lang/Object;)Z", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._findCustomReferenceDeserializer:(Lcom/fasterxml/jackson/databind/type/ReferenceType;Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 6, 5, 2
"com/fasterxml/jackson/databind/deser/std/ReferenceTypeDeserializer.<init>:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/EnumResolver._isIntType:(Ljava/lang/Class;)Z", "all", 6, 6, 1
"com/fasterxml/jackson/databind/type/ReferenceType.<init>:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/Object;Ljava/lang/Object;Z)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig.withDeserializerModifier:(Lcom/fasterxml/jackson/databind/deser/BeanDeserializerModifier;)Lcom/fasterxml/jackson/databind/cfg/DeserializerFactoryConfig;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap.put:(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/AnnotationIntrospector$ReferenceProperty.isBackReference:()Z", "all", 6, 2, 3
"com/fasterxml/jackson/databind/DeserializationContext.<init>:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/InjectableValues;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder._collectAliases:(Ljava/util/Collection;)Ljava/util/Map;", "all", 6, 3, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.addSetter:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;Lcom/fasterxml/jackson/databind/PropertyName;ZZZ)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/jdk14/JDK14Util$RecordAccessor.recordComponents:(Ljava/lang/Class;)[Ljava/lang/Object;", "all", 6, 2, 4
"com/fasterxml/jackson/databind/deser/SettableBeanProperty.<init>:(Lcom/fasterxml/jackson/databind/PropertyName;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/PropertyMetadata;Lcom/fasterxml/jackson/databind/JsonDeserializer;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/util/ClassUtil.wrapperType:(Ljava/lang/Class;)Ljava/lang/Class;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/SettableBeanProperty.setManagedReferenceName:(Ljava/lang/String;)V", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/SettableBeanProperty.setViews:([Ljava/lang/Class;)V", "all", 6, 2, 3
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.withAdditionalDeserializers:(Lcom/fasterxml/jackson/databind/deser/Deserializers;)Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/type/TypeFactory._fromVariable:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/reflect/TypeVariable;Lcom/fasterxml/jackson/databind/type/TypeBindings;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 6, 6, 1
"com/fasterxml/jackson/databind/deser/SettableAnyProperty.constructForMapField:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/BeanProperty;Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/KeyDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;)Lcom/fasterxml/jackson/databind/deser/SettableAnyProperty;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/util/ClassUtil$Ctor.<init>:(Ljava/lang/reflect/Constructor;)V", "all", 5, 3, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedFieldCollector$FieldBuilder.build:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedField;", "all", 5, 3, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver.<init>:(Lcom/fasterxml/jackson/databind/cfg/MapperConfig;Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/introspect/ClassIntrospector$MixInResolver;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/DeserializationContext.<init>:(Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;Lcom/fasterxml/jackson/databind/deser/DeserializerCache;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/type/TypeBindings.findBoundType:(Ljava/lang/String;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.withAbstractTypeResolver:(Lcom/fasterxml/jackson/databind/AbstractTypeResolver;)Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/PropertyMetadata$MergeInfo.<init>:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;Z)V", "all", 5, 2, 3
"com/fasterxml/jackson/databind/cfg/ConfigOverrides.<init>:(Ljava/util/Map;Lcom/fasterxml/jackson/annotation/JsonInclude$Value;Lcom/fasterxml/jackson/annotation/JsonSetter$Value;Lcom/fasterxml/jackson/databind/introspect/VisibilityChecker;Ljava/lang/Boolean;Ljava/lang/Boolean;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/JsonDeserializer.<init>:()V", "all", 5, 1, 6
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.createCollectionLikeDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/type/CollectionLikeType;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 5, 5, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.getFullName:()Lcom/fasterxml/jackson/databind/PropertyName;", "all", 5, 2, 4
"com/fasterxml/jackson/databind/util/EnumResolver._constructFor:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/AnnotationIntrospector;Z)Lcom/fasterxml/jackson/databind/util/EnumResolver;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/util/EnumResolver._enumClass:(Ljava/lang/Class;)Ljava/lang/Class;", "all", 5, 2, 4
"com/fasterxml/jackson/databind/deser/BeanDeserializerModifier.modifyCollectionLikeDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/type/CollectionLikeType;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 5, 4, 2
"com/fasterxml/jackson/databind/deser/std/ThrowableDeserializer.construct:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/BeanDeserializer;)Lcom/fasterxml/jackson/databind/deser/std/ThrowableDeserializer;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/ObjectMapper$1.setMixInAnnotations:(Ljava/lang/Class;Ljava/lang/Class;)V", "all", 5, 3, 2
"com/fasterxml/jackson/databind/introspect/SimpleMixInResolver.hasMixIns:()Z", "all", 5, 4, 2
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder._getAllAnnotations:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$Linked;)Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 5, 4, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedField.getModifiers:()I", "all", 5, 2, 3
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector.collectCreators:(Lcom/fasterxml/jackson/databind/AnnotationIntrospector;Lcom/fasterxml/jackson/databind/type/TypeFactory;Lcom/fasterxml/jackson/databind/introspect/TypeResolutionContext;Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/Class;Z)Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass$Creators;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/util/ClassUtil$Ctor.getDeclaredAnnotations:()[Ljava/lang/annotation/Annotation;", "all", 5, 3, 2
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext$Impl.createInstance:(Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/InjectableValues;)Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/MapperFeature.enabledIn:(J)Z", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.createMapLikeDeserializer:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/type/MapLikeType;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 5, 5, 2
"sf_get_some_double", "all", 5, 5, 1
"com/fasterxml/jackson/databind/ser/SerializerCache.<init>:(I)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext.<init>:(Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;Lcom/fasterxml/jackson/databind/deser/DeserializerCache;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver.createPrimordial:(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedClass;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext.<init>:(Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/InjectableValues;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._findCustomMapDeserializer:(Lcom/fasterxml/jackson/databind/type/MapType;Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/KeyDeserializer;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 5, 4, 2
"com/fasterxml/jackson/core/JsonParser.nextToken:()Lcom/fasterxml/jackson/core/JsonToken;", "all", 5, 1, 10
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.fromMemberAnnotationsExcept:(Lcom/fasterxml/jackson/databind/introspect/POJOPropertyBuilder$WithMember;Ljava/lang/Object;)Ljava/lang/Object;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/type/CollectionType.<init>:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JavaType;Ljava/lang/Object;Ljava/lang/Object;Z)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/BasicDeserializerFactory._findCustomEnumDeserializer:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/DeserializationConfig;Lcom/fasterxml/jackson/databind/BeanDescription;)Lcom/fasterxml/jackson/databind/JsonDeserializer;", "all", 5, 3, 4
"com/fasterxml/jackson/databind/introspect/CollectorBase._emptyAnnotationMaps:(I)[Lcom/fasterxml/jackson/databind/introspect/AnnotationMap;", "all", 5, 2, 2
"com/fasterxml/jackson/databind/type/TypeFactory._bindingsForSubtype:(Lcom/fasterxml/jackson/databind/JavaType;ILjava/lang/Class;Z)Lcom/fasterxml/jackson/databind/type/TypeBindings;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/std/CollectionDeserializer.<init>:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/deser/NullValueProvider;Ljava/lang/Boolean;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/BasicBeanDescription.getConstructorsWithMode:()Ljava/util/List;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/std/EnumMapDeserializer.<init>:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/deser/ValueInstantiator;Lcom/fasterxml/jackson/databind/KeyDeserializer;Lcom/fasterxml/jackson/databind/JsonDeserializer;Lcom/fasterxml/jackson/databind/jsontype/TypeDeserializer;Lcom/fasterxml/jackson/databind/deser/NullValueProvider;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver._contains:(Ljava/util/List;Ljava/lang/Class;)Z", "all", 5, 3, 2
"com/fasterxml/jackson/databind/type/TypeFactory._collectionType:(Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.addDoubleCreator:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Z)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/util/ClassUtil.nonNullString:(Ljava/lang/String;)Ljava/lang/String;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedClass.findMethod:(Ljava/lang/String;[Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethod;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/DeserializerCache.<init>:()V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/JavaType.<init>:(Ljava/lang/Class;ILjava/lang/Object;Ljava/lang/Object;Z)V", "all", 5, 5, 1
"java/lang/Integer.valueOf:(Ljava/lang/String;I)Ljava/lang/Integer;", "all", 5, 1, 6
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.addBooleanCreator:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Z)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/DefaultDeserializationContext.<init>:(Lcom/fasterxml/jackson/databind/deser/DefaultDeserializationContext;Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.hasDefaultCreator:()Z", "all", 5, 2, 3
"java/lang/Class.isInterface:()Z", "all", 5, 1, 5
"com/fasterxml/jackson/databind/introspect/AnnotatedMethodCollector.collect:(Lcom/fasterxml/jackson/databind/type/TypeFactory;Lcom/fasterxml/jackson/databind/introspect/TypeResolutionContext;Lcom/fasterxml/jackson/databind/JavaType;Ljava/util/List;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/introspect/AnnotatedMethodMap;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/VisibilityChecker$Std.isFieldVisible:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedField;)Z", "all", 5, 2, 2
"com/fasterxml/jackson/databind/introspect/AnnotatedClass.getDefaultConstructor:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedConstructor;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/type/ArrayType.construct:(Lcom/fasterxml/jackson/databind/JavaType;Lcom/fasterxml/jackson/databind/type/TypeBindings;Ljava/lang/Object;Ljava/lang/Object;)Lcom/fasterxml/jackson/databind/type/ArrayType;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/util/RootNameLookup.<init>:()V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/impl/CreatorCollector.addBigDecimalCreator:(Lcom/fasterxml/jackson/databind/introspect/AnnotatedWithParams;Z)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/AbstractDeserializer.<init>:(Lcom/fasterxml/jackson/databind/BeanDescription;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/ser/DefaultSerializerProvider.<init>:()V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/AnnotatedCreatorCollector._isIncludableFactoryMethod:(Ljava/lang/reflect/Method;)Z", "all", 5, 2, 3
"java/lang/Class.getComponentType:()Ljava/lang/Class;", "all", 5, 1, 5
"com/houarizegai/calculator/theme/properties/ThemeList.getThemesAsMap:()Ljava/util/Map;", "all", 5, 5, 1
"com/fasterxml/jackson/databind/type/TypeFactory._fromWellKnownInterface:(Lcom/fasterxml/jackson/databind/type/ClassStack;Ljava/lang/Class;Lcom/fasterxml/jackson/databind/type/TypeBindings;Lcom/fasterxml/jackson/databind/JavaType;[Lcom/fasterxml/jackson/databind/JavaType;)Lcom/fasterxml/jackson/databind/JavaType;", "all", 5, 5, 1
"com/fasterxml/jackson/dataformat/yaml/YAMLFactory.<init>:(Lcom/fasterxml/jackson/core/ObjectCodec;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/deser/BeanDeserializerBuilder.<init>:(Lcom/fasterxml/jackson/databind/BeanDescription;Lcom/fasterxml/jackson/databind/DeserializationContext;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/TypeResolutionContext$Basic.<init>:(Lcom/fasterxml/jackson/databind/type/TypeFactory;Lcom/fasterxml/jackson/databind/type/TypeBindings;)V", "all", 5, 1, 4
"com/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap$Node.getPrevious:()Lcom/fasterxml/jackson/databind/util/internal/PrivateMaxEntriesMap$Node;", "all", 5, 3, 2
"java/lang/Class.isArray:()Z", "all", 5, 1, 5
"com/fasterxml/jackson/databind/util/internal/LinkedDeque.linkLast:(Lcom/fasterxml/jackson/databind/util/internal/Linked;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/PropertyMetadata.getIndex:()Ljava/lang/Integer;", "all", 5, 2, 2
"com/fasterxml/jackson/databind/DeserializationContext.<init>:(Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/deser/DeserializerFactory;)V", "all", 5, 5, 1
"com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.getPrimaryMemberUnchecked:()Lcom/fasterxml/jackson/databind/introspect/AnnotatedMember;", "all", 5, 5, 1
"java/util/LinkedHashMap.<init>:()V", "all", 5, 0, 10
